,StartStation,DayOfWeek,Time,Month,Demand
0,31245,6,4,1,1
1,31400,6,10,1,2
2,31101,6,15,1,1
3,31102,6,15,1,1
4,31017,6,17,1,1
5,31236,6,18,1,1
6,31101,6,22,1,1
7,31014,6,24,1,1
8,31101,6,25,1,1
9,31303,6,29,1,1
10,31222,6,30,1,1
11,31107,6,32,1,1
12,31230,6,32,1,1
13,31107,6,33,1,1
14,31109,6,33,1,1
15,31230,6,33,1,1
16,31237,6,33,1,1
17,31203,6,34,1,1
18,31214,6,36,1,1
19,31214,6,37,1,1
20,31216,6,39,1,1
21,31606,6,39,1,1
22,31244,6,41,1,1
23,31201,6,45,1,1
24,31221,6,45,1,1
25,31201,6,46,1,1
26,31200,6,48,1,1
27,31214,6,49,1,1
28,31602,6,49,1,1
29,31100,6,50,1,1
30,31214,6,50,1,1
31,31104,6,52,1,1
32,31606,6,53,1,1
33,31613,6,53,1,1
34,31606,6,54,1,3
35,31002,6,55,1,1
36,31218,6,55,1,2
37,31002,6,56,1,1
38,31111,6,57,1,1
39,31104,6,58,1,1
40,31214,6,58,1,1
41,31600,6,58,1,1
42,31101,6,59,1,1
43,31116,6,59,1,1
44,31602,6,62,1,1
45,31604,6,64,1,1
46,31611,6,65,1,1
47,31007,6,68,1,1
48,31623,6,68,1,1
49,31300,6,69,1,1
50,31613,6,69,1,1
51,31203,6,71,1,1
52,31109,6,72,1,1
53,31201,6,72,1,1
54,31305,6,72,1,1
55,31603,6,73,1,1
56,31201,6,74,1,2
57,31603,6,74,1,1
58,31102,6,75,1,1
59,31305,6,75,1,1
60,31002,6,76,1,2
61,31103,6,76,1,1
62,31104,6,76,1,1
63,31107,6,77,1,1
64,31113,6,78,1,1
65,31103,6,79,1,1
66,31200,6,79,1,1
67,31116,6,80,1,1
68,31116,6,81,1,1
69,31110,6,82,1,1
70,31233,6,83,1,1
71,31007,6,84,1,1
72,31214,6,84,1,1
73,31307,6,84,1,1
74,31111,6,85,1,1
75,31201,6,85,1,1
76,31304,6,89,1,1
77,31223,6,90,1,2
78,31105,6,91,1,1
79,31202,6,91,1,1
80,31101,6,92,1,1
81,31202,6,92,1,1
82,31241,6,92,1,1
83,31623,6,93,1,1
84,31107,6,94,1,1
85,31205,6,94,1,1
86,31241,6,94,1,1
87,31623,6,94,1,1
88,31241,6,95,1,1
89,31618,6,95,1,1
90,31201,6,96,1,1
91,31239,6,96,1,1
92,31105,6,97,1,1
93,31205,6,97,1,1
